deference,policy,success,steps,collisions,collisions_ci,closest,tube,tube_ci
0.4,raw,1.0,137.66,0.0,0.0,0.7578616453650909,nan,nan
0.4,union aci,0.99,157.27272727272728,0.0,0.0,0.8563203858893406,0.949641323224037,0.003746519792245826
0.4,max aci,1.0,156.32,0.0,0.0,0.8223572778021631,0.8987301203896283,0.005471766161836225
0.25,raw,1.0,136.8,2.78,1.262513883329605,0.6699638697345063,nan,nan
0.25,union aci,1.0,157.14,0.36,0.29008000000000006,0.8106067117270324,0.9507881536600153,0.0036257852189378026
0.25,max aci,1.0,154.52,0.61,0.5003914931331267,0.7980640563084052,0.8988671880862487,0.0060869413355568265
0.1,raw,1.0,136.35,6.15,1.6404099365707343,0.5947667322097191,nan,nan
0.1,union aci,1.0,164.01,0.83,0.5303276134617165,0.8101268517422326,0.9505008086146957,0.0032927721927864355
0.1,max aci,0.99,153.64646464646464,0.78,0.3714497349575041,0.7559676425863985,0.8984973497136707,0.005333008779636398
0.02,raw,1.0,138.07,6.06,1.4970140755517298,0.5536221642260537,nan,nan
0.02,union aci,1.0,163.65,0.6,0.4276215148937201,0.8299319087474467,0.9512139645931551,0.0033758647710907183
0.02,max aci,1.0,156.26,1.02,0.6417196845975665,0.780849606568356,0.8983838527406894,0.0049854145116777805
